"","english","uzbek","russian"
"language name","English","O'zbekcha","Русский"
"log in","Log-in","Kirish","Войти"
"create profile","Create Profile","Profil Yaratish","Создать Профиль"
"confirm","Confirm","Tasdiqlash","Подтвердить"
"try_again_warning","Please, try again!","Iltimos, qaytadan urinib ko'ring!","Пожалуйста, попробуйте еще раз!"
"name","Name","Ism","Имя"
"username","Username","Foydalanuvchi ismi","Имя пользователя"
"password","Password","Parol","Пароль"
"remember_me","Remember me","Eslab qolish","Запомни меня"
"online","ONLINE","FAOL","ОНЛАЙН"
"away","AWAY","UZOQDA","ДАЛЕКО"
"chat only","CHAT ONLY","FAQAT CHAT","ТОЛЬКО ЧАТ"
"invisible","INVISIBLE","KO'RINMAS","НЕЗРИМОГО"
"layout availability title","Set up your availability","Holatingizni ko'rsating","НЕВИДИМЫЙ"
"status text"," Status text","Status matni","Статус текст"
"layout status title","Set up your status","Statusni o'rnating","Настройте свой статус"
"contacts today","TodayContacts","Bugungi Kontaktlar","Сегодняшнее Контакты"
"contacts media","MediaContacts","Media","Медиа"
"contacts all","AllContacts","Barcha kontaktlar","Все контакты"
"settings","Settings","Sozlamalar","Настройки"
"profile","Profile","Profil","Профиль"
"contacts_search","SearchContacts","Kontaktlarni izlash","Поиск Контакты"
"search new friends","Search new friends","Yangi do'stlarni izlash","Поиск новых друзей"
"search results"," results for your query: "," sizning so'roq natijalaringiz: "," результаты вашего запроса: "
"status","Status","Status","Статус"
"message","Message","Xat","Сообщение"
"log out","LOG OUT","CHIQISH","ВЫЙТИ"
"type_query","type your query here","so'rovni kiriting","введите свой запрос здесь"
"language","Language","Til","Язык"
"font","Font","Shrift","Шрифт"
"default font","DEFAULT","ODDIY HOLAT","ПО УМОЛЧАНИЮ"
